nodes_count,tree_height,greedy_executions,divide_and_conquer_executions
319,11,9,319
257,11,8,257
11757,19,9,11757
22867,19,9,22867
19897,18,10,19897
9295,18,13,9295
12573,18,11,12573
14027,18,15,14027
10363,17,15,10363
9841,17,12,9841
7691,17,4,7691
7651,16,7,7651
4021,16,11,4021
5703,16,8,5703
4221,16,4,4221
4103,16,14,4103
4499,15,10,4499
3343,15,10,3343
4081,15,14,4081
2691,15,13,2691
1631,15,4,1631
2461,14,12,2461
2301,14,11,2301
1139,14,2,1139
1995,14,8,1995
2009,14,8,2009
1443,14,13,1443
1375,13,7,1375
1661,13,8,1661
1457,13,12,1457
1221,13,6,1221
893,13,12,893
1005,13,11,1005
1147,13,8,1147
831,12,6,831
977,12,10,977
941,12,11,941
825,12,8,825
641,12,8,641
821,12,9,821
641,12,4,641
581,12,10,581
555,11,6,555
463,11,4,463
589,11,7,589
475,11,5,475
355,11,4,355
501,11,10,501
359,11,11,359
361,11,6,361
307,11,9,307
377,11,6,377
25787,19,11,25787
19365,19,11,19365
18713,18,11,18713
16451,18,13,16451
14003,18,11,14003
13751,18,12,13751
10349,17,10,10349
9939,17,14,9939
8651,17,10,8651
6873,16,7,6873
7473,16,11,7473
4579,16,11,4579
5943,16,12,5943
4401,16,11,4401
4497,15,14,4497
4493,15,9,4493
3993,15,9,3993
3191,15,11,3191
3305,15,12,3305
2447,14,12,2447
1901,14,4,1901
2037,14,13,2037
1439,14,10,1439
1573,14,3,1573
1711,14,9,1711
1459,13,9,1459
1265,13,5,1265
1367,13,8,1367
1431,13,11,1431
1397,13,10,1397
1275,13,9,1275
643,13,9,643
1141,12,11,1141
783,12,10,783
853,12,11,853
561,12,5,561
483,12,6,483
685,12,8,685
643,12,6,643
393,12,7,393
685,11,8,685
533,11,9,533
571,11,9,571
545,11,6,545
483,11,8,483
519,11,10,519
521,11,9,521
413,11,9,413
425,11,8,425
387,11,8,387
29399,19,15,29399
21279,19,11,21279
15115,18,15,15115
15275,18,11,15275
15209,18,13,15209
12969,18,11,12969
11121,17,14,11121
9719,17,10,9719
8739,17,16,8739
7545,16,6,7545
6727,16,10,6727
6573,16,10,6573
5247,16,14,5247
3689,16,14,3689
3813,15,14,3813
3847,15,7,3847
3079,15,9,3079
3785,15,10,3785
2575,15,10,2575
2281,14,3,2281
2483,14,10,2483
2481,14,11,2481
2061,14,4,2061
1635,14,11,1635
1843,14,13,1843
1297,13,10,1297
1617,13,11,1617
1131,13,8,1131
1295,13,7,1295
581,13,2,581
1129,13,8,1129
1019,13,11,1019
975,12,9,975
1007,12,7,1007
997,12,9,997
979,12,11,979
909,12,11,909
769,12,6,769
315,12,9,315
603,12,4,603
651,11,8,651
495,11,8,495
259,11,2,259
485,11,8,485
561,11,8,561
513,11,8,513
413,11,9,413
417,11,7,417
377,11,10,377
305,11,9,305
27093,19,14,27093
22031,19,11,22031
18511,18,14,18511
12515,18,8,12515
11791,18,5,11791
12745,18,15,12745
11361,17,8,11361
9341,17,11,9341
7335,17,11,7335
8137,16,13,8137
5869,16,13,5869
5365,16,10,5365
3853,16,8,3853
4119,15,11,4119
3565,15,10,3565
2723,15,10,2723
3437,15,13,3437
2595,15,13,2595
2675,14,14,2675
1365,14,11,1365
1821,14,13,1821
2057,14,11,2057
2009,14,7,2009
1683,13,10,1683
1595,13,12,1595
1419,13,9,1419
1541,13,8,1541
977,13,11,977
847,13,8,847
875,13,7,875
897,12,7,897
705,12,11,705
767,12,10,767
1005,12,11,1005
905,12,11,905
673,12,11,673
577,12,11,577
639,12,7,639
543,11,10,543
581,11,6,581
451,11,10,451
555,11,9,555
481,11,7,481
405,11,9,405
231,11,2,231
315,11,8,315
489,11,10,489
28101,19,11,28101
19943,19,12,19943
19027,18,11,19027
15049,18,15,15049
13243,18,17,13243
11269,18,8,11269
9199,17,11,9199
9621,17,10,9621
7943,17,16,7943
6787,16,5,6787
6119,16,14,6119
6101,16,13,6101
5037,16,10,5037
4013,16,5,4013
4121,15,11,4121
2893,15,12,2893
3389,15,13,3389
3323,15,9,3323
1383,15,5,1383
2835,14,12,2835
2169,14,9,2169
2027,14,4,2027
1291,14,7,1291
1791,14,8,1791
1465,13,5,1465
1551,13,9,1551
1613,13,9,1613
1311,13,10,1311
1241,13,8,1241
1081,13,11,1081
945,13,7,945
921,12,10,921
1103,12,9,1103
509,12,10,509
813,12,7,813
841,12,10,841
817,12,10,817
701,12,9,701
579,12,4,579
693,11,11,693
573,11,5,573
645,11,9,645
565,11,9,565
475,11,7,475
199,11,2,199
421,11,7,421
411,11,7,411
429,11,8,429
433,11,8,433
22103,19,9,22103
24965,19,15,24965
19613,18,17,19613
17253,18,17,17253
15745,18,7,15745
12271,18,13,12271
11069,17,10,11069
9915,17,7,9915
9281,17,17,9281
6719,16,10,6719
5243,16,11,5243
6503,16,13,6503
5025,16,8,5025
5021,16,11,5021
3547,15,13,3547
3827,15,12,3827
3737,15,9,3737
3041,15,8,3041
2895,15,10,2895
2199,14,12,2199
2471,14,10,2471
1941,14,9,1941
1599,14,8,1599
1913,14,10,1913
1499,14,12,1499
1751,13,10,1751
1677,13,10,1677
1369,13,9,1369
1263,13,12,1263
1247,13,8,1247
1251,13,9,1251
791,13,11,791
537,12,8,537
773,12,12,773
751,12,8,751
455,12,2,455
781,12,11,781
751,12,11,751
639,12,9,639
727,12,8,727
611,11,9,611
527,11,8,527
551,11,9,551
521,11,8,521
435,11,9,435
449,11,10,449
511,11,9,511
449,11,7,449
409,11,9,409
257,11,7,257
